SURNAMES,MALE,FEMALE,
Audenaert,Ame,Amee,
Audiard,Ameinias,Ameis,
Auerbach,Ameinokles,Amelia,
Auffrye,Amélien,Amelina,
Aufort,Amer,Ameline,
Augendre,Americ,Amelinne,
Auger,Americus,Amellia,
Augier,Amery,Amelot,
Auke,Ames,Amelyn,
Aulenti,Ametz,Ameria,
Auneil,Amfrid,Amestrin,
Aungier,Amfridus,Amestris,
Auradou,Amiantos,Amets,
Aurenche,Amias,Ametza,
Auric,Amiel,Amfelice,
Aurrekoetxea,Amigart,Amfelisia,
Ausborn,Amils,Amflis,
Austerlitz,Amiot,Amflisa,
Autain,Amirrutzes,Amflisia,
Authie,Amis,Amia,
Auvray,Amisius,Amiable,
Auzias,Ammius,Amic,
Avanzi,Ammonianus,Amica,
Avanzo,Amo,Amicabilis,
Avellino,Amohia,Amicia,
Averlino,Amompharetos,Amicie,
Averoff,Amopaon,Amie,
Avogadro,Ampelius,Amilamia,
Axelos,Amphiaraos,Amilia,
Axeritogarai,Amphidamos,Amiot,
Axmann,Amphimachos,Amira,
Axpe,Amphimnestus,Amis,
Ayarai,Amphinomous,Amiscia,
Ayatsbehers,Amphion,Amisia,
Ayer,Amphios,Amke,
Ayers,Amphitrion,Ammij,
Ayo,Ampho,Ammio,
Azarola,Amuruza,Ammy,
Azevedo,Amyas,Amoltrud,
Azkona,Amyntas,Amparo,
Azkue,Amyntor,Amphelice,
Azocar,Amyon,Amphelicia,
Azor,Amyris,Amphillis,
Azuara,Amythaon,Amphithoe,
Azzopardi,Anabesineos,Amphitrite,
Baal,Anacharsis,Ampinomene,
Baans,Anafrid,Amplias,
Baatz,Anagastes,Amulberga,
Babbel,Anaia,Amuna,
Babel,Anakletos,Amya,
Baboescu,Anakoz,Amycia,
Bacardi,Anakreon,Amye,
Bacha,Anartz,Amyfelyse,
Bachelin,Anastasios,Anabel,
Bacher,Anastasius,Anabell,
Bachert,Anatolicus,Anabella,
Bacheva,Anatolius,Anabill,
Bachiler,Anaut,Anabilla,
Bachman,Anaxagoras,Anabille,
Bachuijs,Anaxandridas,Anabul,
Bachus,Anaxandrides,Anachorita,
Backeljauw,Anaxandros,Anaeaxi,
Backstadt,Anaxarchos,Anaiansi,
Backstedt,Anaxilaus,Anais,
Badaloni,Anaximander,Anastas,
Badeau,Anaximenes,Anastase,
Badem,Anaxis,Anastasia,
Badeni,Anaxos,Anastatia,
Badie,Ancelin,Anaurra,
Badinter,Ancelm,Anchoret,
Badoglio,Ancelmus,Anchoretta,
Badre,Ancelot,Ancret,
Baeker,Anchialus,Ancreta,
Baert,Anchier,Ancrett,
Baertschi,Anchimolios,Ande,
Baetens,Anchises,Anderazu,
Baffi,Anchitel,Andere,
Baggio,Ancus,Anderexo,
Bagio,Andagis,Anderkina,
Bagliani,Ander,Andia,
Bagula,Andhari,Andikona,
Bahnsen,Andima,Andion,
Baia,Andoitz,Andolie,
Baiano,Andokides,Andone,
Baier,Andolin,Andonine,
Baigelman,Andoni,Andre,
Baignard,Andraemon,Andrea,
Baijot,Andrash,Andregoto,
Baille,Andrea,Andrekina,
Bailleul,Andreas,Andremisa,
Baillieu,Andreu,Andreva,
Bainard,Andrew,Andrezuria,
Baio,Andries,Andrie,
Baix,Androbulos,Andromeda,
Bajraktari,Androcles,Ane,
Bajrami,Androdamos,Anès,
Bajramovic,Androgeus,Anese,
Bakaikoa,Andronicus,Anesot,
Bakel,Aner,Anestasia,
Bakics,Aneristos,Anfelisa,
Bakirdzis,Anfroi,Anfelise,
Bakogianni,Anfroy,Angaret,
Balakov,Angegisis,Angel,
Balani,Angilbart,Angela,
Balanos,Angilbert,Angelet,
Balanque,Anianus,Angelu,
Balassa,Anicius,Angnes,
Balbo,Aniketos,Angnet,
Balcescu,Anisodoros,Anis,
Balck,Anixi,Aniz,
Baldaro,Anketel,Ankerita,
Baldato,Anketil,Ankharet,
Baldini,Anketin,Anna,
Balenziaga,Anko,Annabele,
Balerdi,Anno,Annabell,
Balev,Anquetil,Annabella,
Balibar,Anquetin,Annabelle,
Baliol,Anschetillus,Annable,
Balitiu,Anschitillus,Annais,
Balk,Anscoul,Annaple,
Balla,Ansegisel,Annas,
Ballan,Ansehelm,Anne,
Ballanger,Anseis,Anneis,
Ballard,Anselet,Annes,
Ballerat,Ansell,Annestas,
Balleroy,Ansellus,Anneyce,
Ballou,Anselm,Anneys,
Ballu,Anselme,Anneyse,
Balsamo,Anselmet,Annice,
Balsemao,Anselmus,Annina,
Baltar,Ansfroi,Annis,
Baltistuzzi,Ansgor,Annise,
Baltz,Ansgot,Annke,
Baluze,Anshelmus,Annor,
Balzar,Ansiau,Annora,
Balzer,Ansila,Annot,
Bambach,Ansis,Annys,
Banatoni,Anskar,Anora,
Banciu,Ansketil,Anoz,
Banckert,Anskettell,Ansa,
Banditelli,Ansobert,Anselda,
Banfi,Ansout,Ansere,
Bangue,Ansprand,Ansgard,
Banica,Anstill,Ansitruda,
Banquet,Ansure,Anstes,
Bant,Antaeus,Anstey,
Banta,Antagoras,Anstice,
Barat,Antemion,Anstis,
Baratta,Antenor,Anstiss,
Baratte,Anter,Anstruda,
Barattin,Anthelme,Antehe,
Barbadori,Anthemion,Anteia,
Barbarigo,Anthemius,Antheia,
Barberi,Anthimus,Anthoinette,
Barberie,Anthon,Anthousa,
Barberini,Anthonius,Anthusa,
Barberino,Antichares,Anticleia,
Barbier,Antidoros,Antigone,
Barbieri,Antigenes,Antiochis,
Barbieur,Antigonos,Antiope,
Barbirolli,Antikles,Antipatra,
Barbiusa,Antilochus,Antje,
