SURNAMES,MALE,FEMALE,
Koekkoek,,,
Koler,,,
Koranyi,,,
Kostopoulou,,,
Kraja,,,
Kreuger,,,
Krull,,,
Kula,,,
Kyprianou,,,
Labaye,,,
Lacouague,,,
Lajtha,,,
Lambruschini,,,
Lanerd,,,
Laprade,,,
Laspiga,,,
Laurier,,,
Lazaro,,,
le Flamand,,,
le Prévost,,,
Leenhoff,,,
Lehotka,,,
Lemercier,,,
Leptio,,,
Levasseur,,,
Libourg,,,
Lindenmaier,,,
Lisieux,,,
Loers,,,
Lombardo,,,
Loria,,,
Louwerense,,,
Lucchi,,,
Lulli,,,
Luttini,,,
Macek,,,
Maffeis,,,
Maiello,,,
Malan,,,
Malleville,,,
Mangakis,,,
Manucci,,,
Marga,,,
Marisco,,,
Marsuppini,,,
Masaccio,,,
Mateau,,,
Maupassant,,,
Maynet,,,
Medrano,,,
Meirelles,,,
Melissanides,,,
Menichelli,,,
Merici,,,
Meser,,,
Metting,,,
Meyskens,,,
Miglioli,,,
Milosovici,,,
Misch,,,
Moens,,,
Moller,,,
Mollet,,,
Mollica,,,
Molnar,,,
Monachino,,,
Monaco,,,
Monaldi,,,
Monami,,,
Monasta,,,
Monasterio,,,
Moncassin,,,
Monceaux,,,
Moncel,,,
Moncelle,,,
Moncey,,,
Monchaty,,,
Monciaux,,,
Moncoutie,,,
Mondello,,,
Mondolfo,,,
Mondragon,,,
Monero,,,
Monet,,,
Monighetti,,,
Moniotte,,,
Monomachus,,,
Montacute,,,
Montagnana,,,
Montagnani,,,
Montaigu,,,
Montand,,,
Montanje,,,
Montbrai,,,
Mont-Canisi,,,
Monteiro,,,
Montella,,,
Montero,,,
Montet,,,
Monteux,,,
Montfiquet,,,
Montfort,,,
Montgomery,,,
Montgommeri,,,
Monti,,,
Monticelli,,,
Montillet,,,
Montminy,,,
Montorsi,,,
Montrosier,,,
Mor,,,
Morais,,,
Morandi,,,
Morariu,,,
Moratti,,,
Moravia,,,
Morbidelli,,,
Mordasini,,,
Moreau,,,
Moretti,,,
Morgenthau,,,
Morgia,,,
Mori,,,
Morier,,,
Moriero,,,
Morillo,,,
Morillon,,,
Morin,,,
Morina,,,
Morisett,,,
Morisot,,,
Morlock,,,
Moro,,,
Moron,,,
Morone,,,
Moroni,,,
Morosini,,,
Morphew,,,
Morra,,,
Mortagne,,,
Mortain,,,
Mortemer,,,
Mortier,,,
Mortmain,,,
Morvoisieux,,,
Mosbauer,,,
Mosca,,,
Moscati,,,
Moschino,,,
Moscopolis,,,
Mosse,,,
Mota,,,
Motevassel,,,
Mothron,,,
Mouffe,,,
Mouligne,,,
Moulu,,,
Mouly,,,
Moumoulidis,,,
Moura,,,
Mourge,,,
Mouritse,,,
Mouschard,,,
Moushine,,,
Mousson,,,
Mouterde,,,
Mouwerson,,,
Mowerson,,,
Moyaux,,,
Mozzafiato,,,
Mripa,,,
Mronz,,,
Mucedent,,,
Muche,,,
Muehlberg,,,
Muehlegg,,,
Muel,,,
Mueller,,,
Muessig,,,
Mugica,,,
Muguruza,,,
Muhaburu,,,
Mühle,,,
Mujushi,,,
Mul,,,
Mulazzoni,,,
Mulch,,,
Mulder,,,
Mullenhoff,,,
Muller,,,
Müller,,,
Munchow,,,
Mundo,,,
Munduarte,,,
Munkcási,,,
Munneville,,,
Munoa,,,
Münster,,,
Munteanu,,,
Munteaunu,,,
Muntz,,,
Munz,,,
Muraro,,,
Murat,,,
Murati,,,
Muratoni,,,
Murdac,,,
Murgu,,,
Murialdo,,,
Murri,,,
Murrone,,,
Murzaku,,,
Musante,,,
Musard,,,
Musart,,,
Muscat,,,
Muscetta,,,
Muscio,,,
Musco,,,
Muscouri,,,
Muselier,,,
Muskens,,,
Muslimi,,,
Musrri,,,
Mussegros,,,
Musser,,,
Musset,,,
Mussi,,,
Mustel,,,
Muti,,,
Myers,,,
Mylin,,,
Mylonas,,,
Mytens,,,
Mytorena,,,
Nachbauer,,,
Naçi,,,
Nádasdy,,,
Nadeau,,,
Nadelhoffer,,,
Naegeli,,,
Naertens,,,
Nafpliotis,,,
Nagel,,,
Nagle,,,
Nagy,,,
Nainkin,,,
Nallbani,,,
Nana,,,
Nanclares,,,
Nankov,,,
Nannini,,,
Nano,,,
Napoleoni,,,
Napolitano,,,
Narbarte,,,
Narbitz,,,
Nardello,,,
Nardiello,,,
Nardini,,,
Nardo,,,
Nardone,,,
Nargeolet,,,
Nargiso,,,
Narr,,,
Nastase,,,
Natoli,,,
Natta,,,
Nattier,,,
Nattore,,,
Natxiondo,,,
Naude,,,
Naudts,,,
Naugle,,,
Naumann,,,
Nautin,,,
Navarra,,,
Navarre,,,
Navarrete,,,
Navascues,,,
Naveau,,,
Navegero,,,
Naville,,,
Nazon,,,
Neacsu,,,
Neagoe,,,
Nebe,,,
Nebiolo,,,
Nechita,,,
Neckel,,,
Nederstatter,,,
Nedry,,,
Neethling,,,
Neezer,,,
Nef,,,
Negrão,,,
Negret,,,
Negris,,,
Negura,,,
Negutesco,,,
Neirinck,,,
Nejedly,,,
Nélaton,,,
Nelis,,,
Nelond,,,
Nemeth,,,
Neot,,,
Nerciat,,,
Neri,,,
Nerius,,,
Nerlinger,,,
Nero,,,
Neroni,,,
Nesdin,,,
Nesi,,,
Nesimi,,,
Nesselman,,,
Nessler,,,
Nesta,,,
Nesti,,,
Nestoret,,,
Nestroy,,,
Neth,,,
Neto,,,
Neubert,,,
Neufmarche,,,
Neumann,,,
Neumayer,,,
Neuner,,,
Neuss,,,
Neustatter,,,
Neuville,,,
Neuwenschwander,,,
Neves,,,
Nexhipi,,,
Niarkhos,,,
Nica,,,
Niccoli,,,
Nichetti,,,
Nickel,,,
Nicolae,,,
Nicoletti,,,
Nicoli,,,
Nicollet,,,
Niculaie,,,
Niculescu,,,
Nieberg,,,
Niedernhuber,,,
Niederstatter,,,
Nielandt,,,
Niemann,,,
Niemeyer,,,
Nienaber,,,
Nieto,,,
Nieuwenhuys,,,
Niewendyk,,,
Nijs,,,
Nikolaides,,,
Nilis,,,
Nimmegeer,,,
Nimtz,,,
Niquet,,,
Nistor,,,
Nitschke,,,
Nitze,,,
Nivard,,,
Nivel,,,
Nivelon,,,
Nixon,,,
Nizan,,,
Nnano,,,
Nobile,,,
Nobilo,,,
Noe,,,
Noica,,,
Noirault,,,
Noiret,,,
Noldt,,,
Noli,,,
Nolt,,,
Nonneman,,,
Nooja,,,
Noordholt,,,
Noorlander,,,
Nordhagen,,,
Nordien,,,
Nordin,,,
Noriac,,,
Norling,,,
Norval,,,
Noszaly,,,
Nota,,,
Notabartola,,,
Noteboom,,,
Novalskin,,,
Noyers,,,
Nucci,,,
Nuhiji,,,
Nuin,,,
Numan,,,
Nunes,,,
Nunho,,,
Nussbaum,,,
Nuti,,,
Nutiu,,,
Nuvolari,,,
Nuyts,,,
Nyffenegger,,,
Nyilas,,,
Nyilasi,,,
Nys,,,
Nyssen,,,
Oar,,,
Oberacker,,,
Oberhammer,,,
Oberhofner,,,
Oberholtzer,,,
Oberle,,,
Oberman,,,
Obermoser,,,
Ocamica,,,
Occhena,,,
Oceano,,,
Odenthal,,,
Odescalchi,,,
Odilo,,,
Oeggl,,,
Oelsner,,,
Oertel,,,
Ohrenstiel,,,
Oiharzabal,,,
Oimeracz,,,
Oisconta,,,
Ojacarcu,,,
Olaru,,,
Olazabal,,,
Oldekop,,,
Olibarri,,,
Olinger,,,
Oliveira,,,
Olleris,,,
Ollivier,,,
Olteanu,,,
Omand,,,
Omoboni,,,
Onaindia,,,
Onassis,,,
Ondarra,,,
Ondoro,,,
Ondruj,,,
Ongenae,,,
Onghena,,,
Onodi,,,
Onorati,,,
Oosterhuis,,,
Oosterling,,,
Oosteroom,,,
Oostinge,,,
Ophoven,,,
Ophuysen,,,
Oprel,,,
Opsomer,,,
Oramuno,,,
Orati,,,
Orbeta,,,
Orczy,,,
Ordina,,,
Ordoki,,,
Oreaga,,,
Oreille,,,
Oremans,,,
Oresme,,,
Ori,,,
Oria,,,
Orioli,,,
Oristano,,,
Orlandi,,,
Orlando,,,
Orlebar,,,
Ormond,,,
Orphanides,,,
Orsi,,,
Ortelli,,,
Ortleib,,,
Orzaiz,,,
Osa,,,
Osadci,,,
Oseku,,,
Oshin,,,
Osinalde,,,
Osmochescu,,,
Osmond,,,
Osmont,,,
Ostendarp,,,
Ostendorp,,,
Ostenstad,,,
Osterloh,,,
Ostrum,,,
Otegui,,,
Oteiza,,,
Otero,,,
Othon,,,
Ottini,,,
Ottke,,,
Ottoboni,,,
Ottoz,,,
Otxoa,,,
Oubouhou,,,
Oudant,,,
Oudet,,,
Oudinot,,,
Oudshoorn,,,
Ougier,,,
Ouijer,,,
Ouimette,,,
Ouistreham,,,
Ouke,,,
Ouvier,,,
Overmars,,,
Overresch,,,
Ovidiu,,,
Oxanguren,,,
Oxinos,,,
Oyarzun,,,
Ozera,,,
Pacaut,,,
Pacelli,,,
Pacho,,,
Pacio,,,
Pacome,,,
Padovano,,,
Paers,,,
Paes,,,
Paesen,,,
Paey,,,
Pagadigorria,,,
Pagani,,,
Paganin,,,
Paganini,,,
Pagliuca,,,
Pagnamenta,,,
Pagnol,,,
Paguaga,,,
Paillard,,,
Pain,,,
Painel,,,
Paisi,,,
Paix,,,
Paixdecouer,,,
Pajetta,,,
Pajonk,,,
Pakula,,,
Paladino,,,
Palagyi,,,
Palairet,,,
Palamas,,,
Palen,,,
Paléologue,,,
Palermo,,,
Palet,,,
Palgani,,,
Paling,,,
Palladio,,,
Pallavicini,,,
Pallegoix,,,
Pallenberg,,,
Pallis,,,
Pallotti,,,
Palmarocchi,,,
Palmas,,,
Palminteri,,,
Palmkoek,,,
Paloka,,,
Paluari,,,
Palumbo,,,
Paluzzi,,,
Pamfili,,,
Pampoldi,,,
Pan,,,
Panagiatopoulos,,,
Panagiopoulou,,,
Panagiotopou,,,
Panagou,,,
Panagoulias,,,
Panagoulis,,,
Panaotis,,,
Panatta,,,
Panavoglou,,,
Panayi,,,
Panayides,,,
Panayiotopoulos,,,
Panayiotou,,,
Pancaldi,,,
Pancevolt,,,
Panciroli,,,
Pandy,,,
Paneira,,,
Paneloux,,,
Pangalos,,,
Pangratiu,,,
Panis,,,
Panizzi,,,
Pantani,,,
Panteleo,,,
Pantoliano,,,
Pantoul,,,
Panzanini,,,
Paoli,,,
Paolillo,,,
Paolozzi,,,
Paolucci,,,
Papadakis,,,
Papademetriou,,,
Papadias,,,
Papadopolos,,,
Papadopoulos,,,
Papadoupolos,,,
Papafagos,,,
Papageorgiou,,,
Papagos,,,
Papakostas,,,
Papamichael,,,
Papanastasiou,,,
Papandreou,,,
Paparelli,,,
Papareschi,,,
Papasogli,,,
Papasotiriou,,,
Papatamelis,,,
Papathanassiou,,,
Papelion,,,
Papi,,,
Papon,,,
Papoulias,,,
Pappas,,,
Pappou,,,
Paradis,,,
Parasca,,,
Parastadidis,,,
Paravicini,,,
Parelli,,,
Parentucelli,,,
Parenzan,,,
Parillaud,,,
Parini,,,
Paris,,,
Parlevliet,,,
Parmentier,,,
Parrela,,,
Parrilla,,,
Parrottin,,,
Parry,,,
Parthenai,,,
Partino,,,
Partos,,,
Paruzzi,,,
Paschal,,,
Paschini,,,
Paschke,,,
Pascolo,,,
Pasinetti,,,
Paskalev,,,
Pasolini,,,
Pasquetto,,,
Pasquier,,,
Passemier,,,
Pastforeire,,,
Pastor,,,
Pastoral,,,
Pastorelli,,,
Pasturei,,,
Patella,,,
Patitucci,,,
Paton,,,
Patrescu,,,
Patriarco,,,
Patricio,,,
Patris,,,
Patroni,,,
Pattakos,,,
Patti,,,
Paty,,,
Patzwahl,,,
Pauker,,,
Paulen,,,
Pauleta,,,
Pauli,,,
Paulino,,,
Paulot,,,
Paulse,,,
Paulus,,,
Paumera,,,
Pauwels,,,
Pavel,,,
Pavenic,,,
Pavlakakis,,,
Pavlenco,,,
Pavoni,,,
Pazanini,,,
Pázmány,,,
Pazzi,,,
Pazzio,,,
Pecchia,,,
Pecci,,,
Peccoth,,,
Pecely,,,
Peche,,,
Pechsteinn,,,
Peco,,,
Pedane,,,
Pedarzolli,,,
Pedercini,,,
Pedrazzini,,,
Pedrazzolli,,,
Pedrotti,,,
Peers,,,
Peesmeesters,,,
Peeters,,,
Pegoretti,,,
Peiffer,,,
Peirsman,,,
Peis,,,
Peiser,,,
Peissel,,,
Peithner,,,
Peixe,,,
Peixoto,,,
Peizerat,,,
Pelchat,,,
Pélissier,,,
Pellegrino,,,
Pellico,,,
Pellissier,,,
Pelloutier,,,
Pelous,,,
Peloux,,,
Penaud,,,
Penchev,,,
Pencreach,,,
Pendareva,,,
Penev,,,
Pennant,,,
Penne,,,
Penneman,,,
Penni,,,
Pensotti,,,
Pentcheva,,,
Pentzopoulos,,,
Penucci,,,
Pepin,,,
Pepke,,,
Perani,,,
Perathoner,,,
Perci,,,
Perea,,,
Perec,,,
Pereira,,,
Peretti,,,
Perfelti,,,
Perfetti,,,
Péricard,,,
Perie,,,
Perls,,,
Pernaska,,,
Perpoli,,,
Perreau,,,
Perrer,,,
Perrey,,,
Perri,,,
Perrier,,,
Perrin,,,
Perrini,,,
Perrone,,,
Perrot,,,
Perroy,,,
Persyn,,,
Perteau,,,
Pertile,,,
Pertoni,,,
Pertorini,,,
Pertuiset,,,
Peruzzi,,,
Pesaresi,,,
Pescariu,,,
Pesch,,,
Pescheux,,,
Peschisolido,,,
Pesci,,,
Pescosolido,,,
Peslier,,,
Pesmazoglou,,,
Pesotta,,,
Pessao,,,
Pesseingimpel,,,
Pessoa,,,
Pessotto,,,
Peteira,,,
Peterhansel,,,
Peters,,,
Peterse,,,
Peterson,,,
Petilon,,,
Petiot,,,
Petit,,,
Petitclerc,,,
Petito,,,
Petkov,,,
Petofi,,,
Petrahn,,,
Petrarco,,,
Petrela,,,
Petremol,,,
Petrescu,,,
Petri,,,
Petrocelli,,,
Petroni,,,
Petrou,,,
Petrova,,,
Pettit,,,
Peu,,,
Peugniez,,,
Peveril,,,
Pevrel,,,
Peyrot,,,
Pezzo,,,
Pfaff,,,
Pfaller,,,
Pfeffer,,,
Pfeifenberger,,,
Pfeiffauf,,,
Pfeiffer,,,
Pfeil,,,
Pfeiler,,,
Pfister,,,
Pheraios,,,
Phiesel,,,
Philarghi,,,
Philibert,,,
Philipousis,,,
Phippaerts,,,
Pianta,,,
Piantini,,,
Picard,,,
Picavet,,,
Piccinini,,,
Piccoli,,,
Piccolomini,,,
Pichner,,,
Pichois,,,
Pichot,,,
Picollet,,,
Picot,,,
Picotin,,,
Picotti,,,
Picvini,,,
Piech,,,
Piédalu,,,
Piel,,,
Pienaar,,,
Piepoli,,,
Pier,,,
Pierdomenico,,,
Pierides,,,
Pierleoni,,,
Pierotti,,,
Pierozzi,,,
Pierpaoli,,,
Pierpoali,,,
Pierpoint,,,
Pierrepont,,,
Piersens,,,
Pierterse,,,
Piessens,,,
Pieters,,,
Pieterse,,,
Pietersen,,,
Pieterszen,,,
Pietramellana,,,
Pietris,,,
Pigafetta,,,
Pigeonnier,,,
Pignatelli,,,
Pigorel,,,
Pilaet,,,
Pilar,,,
Piller,,,
Pilon,,,
Pilsner,,,
Pinard,,,
Pincemail,,,
Pinel,,,
Pinette,,,
Pingaud,,,
Pininferino,,,
Pinochet,,,
Pinon,,,
Pinot,,,
Pinquier,,,
Pinte,,,
Pinto,,,
Pioline,,,
Piontelli,,,
Piota,,,
Piovani,,,
Pipa,,,
Pipin,,,
Pipinelis,,,
Pippery,,,
Piquereau,,,
Piquiri,,,
Pirandello,,,
Pirelli,,,
Pires,,,
Pirktl,,,
Piroth,,,
Pirovano,,,
Pirvu,,,
Pisa,,,
Pisanello,,,
Pisani,,,
Pisano,,,
Pischetrieder,,,
Pisciotta,,,
Pisont,,,
Pistilli,,,
Pistohlkors,,,
Pistone,,,
Pistres,,,
Pithou,,,
Pitje,,,
Pitta,,,
Pittakis,,,
Pittakys,,,
Pitteaux,,,
Pitti,,,
Pittoni,,,
Pitu,,,
Pitzi,,,
Pizzichini,,,
Pizzolato,,,
Pizzoli,,,
Pizzonia,,,
Pizzul,,,
Plafox,,,
Plage,,,
Planche,,,
Planchenault,,,
Plankensteiner,,,
Plasait,,,
Plaschke,,,
Plastiras,,,
Platina,,,
Platz,,,
Platzdasch,,,
Platzer,,,
Plaziat,,,
Plescan-Popa,,,
Pleshette,,,
Plesseraud,,,
Plesu,,,
Plettenburg,,,
Plischke,,,
Pllana,,,
Pllumi,,,
Plöchl,,,
Ploegmakers,,,
Plone,,,
Plouviez,,,
Pluchet,,,
Plucknet,,,
Poccetti,,,
Pocoli,,,
Pócsiné,,,
Poda,,,
Poer,,,
Poestinger,,,
Poeze,,,
Pogiali,,,
Pohl,,,
Poidebard,,,
Poignant,,,
Poilblan,,,
Poillei,,,
Pointel,,,
Poiret,,,
Poitevin,,,
Poitier,,,
Pojani,,,
Pokolytsch,,,
Polandi,,,
Poli,,,
Polichnai,,,
Polides,,,
Polidori,,,
Politti,,,
Poliziano,,,
Pollaiuolo,,,
Pollini,,,
Polo,,,
Polster,,,
Poltari,,,
Polycarpous,,,
Polychroniadis,,,
Polychroniou,,,
Polydorou,,,
Polymeropoulos,,,
Polymeru,,,
Polyzou,,,
Pomardi,,,
Pomarès,,,
Pombal,,,
Pometti,,,
Pomi,,,
Ponchielli,,,
Pongratz,,,
Pons,,,
Pont,,,
Pontchardon,,,
Ponti,,,
Pontillon,,,
Pontoni,,,
Ponty,,,
Pooe,,,
Poortman,,,
Popescu,,,
Popotas,,,
Popov,,,
Popovici,,,
Poppe,,,
Poppmeier,,,
Porcaro,,,
Porcellato,,,
Porchianelo,,,
Poret,,,
Porfirio,,,
Porpurogenitos,,,
Porro,,,
Port,,,
Portefait,,,
Portenier,,,
Posch,,,
Poschner,,,
Poserina,,,
Possenti,,,
Postel,,,
Postinger,,,
Postma,,,
Postmael,,,
Potgeiter,,,
Poth,,,
Potiorek,,,
Potthof,,,
Pouchet,,,
Poudrier,,,
Pouget,,,
Poujade,,,
Poujoulet,,,
Poujouly,,,
Poulet,,,
Poulse,,,
Poulsen,,,
Poulus,,,
Pouqueville,,,
Pourchet,,,
Poussin,,,
Pouwelse,,,
Pouzade,,,
Powelse,,,
Pozzi,,,
Pozziano,,,
Prada,,,
Praet,,,
Prandjeva,,,
Prandzheva,,,
Prantera,,,
Prat,,,
Pratkanis,,,
Prazeres,,,
Preaux,,,
Preda,,,
Preiss,,,
Prela,,,
Prenkpalaj,,,
Presecan,,,
Presle,,,
Presser,,,
Prestcote,,,
Prestes,,,
Pretorius,,,
Pretzsch,,,
Prevalakis,,,
Prevoost,,,
Prevot,,,
Priaulx,,,
Prideaux,,,
Priebke,,,
Prieler,,,
Priemer,,,
Prifti,,,
Prignano,,,
Prihoda,,,
Primaticcio,,,
Primeau,,,
Primikynos,,,
Prinosil,,,
Prins,,,
Prishtina,,,
Privat,,,
Probst,,,
Prock,,,
Prodan,,,
Prodoprigora,,,
Profanter,,,
Profis,,,
Prohaska,,,
Prokler,,,
Prolat,,,
Propenzicotti,,,
Properzi,,,
Proriol,,,
Prost,,,
Protesi,,,
Proust,,,
Provins,,,
Provolone,,,
Provoost,,,
Provost,,,
Prugger,,,
Prunea,,,
Prys,,,
Psaquale,,,
Psara,,,
Psaros,,,
Psaroulakis,,,
Pucci,,,
Puccini,,,
Puchot,,,
Puetz,,,
Puget,,,
Puggioni,,,
Puglisi,,,
Pukstys,,,
Pula,,,
Pulis,,,
Pulisfelt,,,
Pulle,,,
Pulszky,,,
Punga,,,
Puravet,,,
Puscasu,,,
Pusterla,,,
Putignani,,,
Putzer,,,
Puylaert,,,
Puymbroek,,,
Qosja,,,
Quackenbosch,,,
Quasten,,,
Quebbemann,,,
Queneau,,,
Quenhenerve,,,
Quentin,,,
Quesnel,,,
Questi,,,
Quièvremont,,,
Quilleboeuf,,,
Quincarnon,,,
Quinl,,,
Quint,,,
Raab,,,
Rabbi,,,
Raco,,,
Radacanu,,,
Radini,,,
Radu,,,
Raducioiu,,,
Radulescu,,,
Raeder,,,
Raes,,,
Raev,,,
Raffone,,,
Ragar,,,
Raggio,,,
Ragusa,,,
Raich,,,
Raimbeaucourt,,,
Raimundi,,,
Rainaducci,,,
Raindl,,,
Rainecourt,,,
Rainer,,,
Rainmayr,,,
Rakosi,,,
Rakovski,,,
Raleigh,,,
Ralli,,,
Rallis,,,
Rama,,,
Ramaalas,,,
Ramadani,,,
Rambert,,,
Rameau,,,
Ramelle,,,
Rames,,,
Ramet,,,
Ramos,,,
Rampal,,,
Rampolla,,,
Randa,,,
Randi,,,
Rangelov,,,
Rangosch,,,
Ranicki,,,
Rannequin,,,
Rantaine,,,
Rantzen,,,
Raoullin,,,
Raoux,,,
Rapalje,,,
Rapareillet,,,
Raphanel,,,
Rapisardi,,,
Rapnouil,,,
Rappeneau,,,
Rasch,,,
Rassent,,,
Rassow,,,
Rast,,,
Rastelli,,,
Rastignac,,,
Ratel,,,
Ratti,,,
Rau,,,
Rauch,,,
rauffenburg,,,
Rauh,,,
Rault,,,
Rausis,,,
Rautenstrauch,,,
Ravanelli,,,
Ravel,,,
Ravenot,,,
Ravon,,,
Rdzsavolgygi,,,
Re,,,
Rea,,,
Reale,,,
Reaume,,,
Rebagliati,,,
Rebeelin,,,
Rebellin,,,
Reber,,,
Rebholz,,,
Reck,,,
Recker,,,
Redeker,,,
Redik,,,
Regalo,,,
Regel,,,
Regnault,,,
Rehberg,,,
Rehn,,,
Reich,,,
Reichard,,,
Reichel,,,
Reicher,,,
Reichhardt,,,
Reiff,,,
Reijerss,,,
Reiler,,,
Reimer,,,
Reinelt,,,
Reiner,,,
Reineri,,,
Reinhardt,,,
Reinke,,,
Reinstadler,,,
Reinstadtler,,,
Reis,,,
Reiss,,,
Reiter,,,
Reithoffer,,,
Reitz,,,
Reize,,,
Reizenstein,,,
Reiziger,,,
Reizinger,,,
Remesey,,,
Remesy,,,
Remmel,,,
Remmelts,,,
Remond,,,
Remusat,,,
Remy,,,
Renan,,,
Renaud,,,
Renaudas,,,
Renaudie,,,
Renault,,,
Renders,,,
Rendich,,,
Rener,,,
Reni,,,
Renier,,,
Renimen,,,
Renkens,,,
Renner,,,
Rennes,,,
Renoir,,,
Renold,,,
Renoth,,,
Renouard,,,
Renouf,,,
Renzenbrink,,,
Reparaz,,,
Resende,,,
Resink,,,
Reski,,,
Respighi,,,
Respigli,,,
Restault,,,
Restencourt,,,
Retel,,,
Rettan,,,
Rettenwender,,,
Retzner,,,
Reufi,,,
Reusing,,,
Reuter,,,
Révay,,,
Revel,,,
Reviers,,,
Revol,,,
Rexhepi,,,
Rey,,,
Reyer,,,
Reyers,,,
Reyner,,,
Reyns,,,
Rezessy,,,
Rezzori,,,
Rhoodie,,,
Riano,,,
Riario,,,
Ribbe,,,
Ribeiro,,,
Ribhegge,,,
Ribot,,,
Ribsi,,,
Ricci,,,
Ricciardi,,,
Ricciolo,,,
Ricco,,,
Richard,,,
Richelieu,,,
Richelmi,,,
Richemont,,,
Richepin,,,
Richert,,,
Richir,,,
Richter,,,
Rickert,,,
Ricklefs,,,
Ricordi,,,
Riddenaer,,,
Ridnaer,,,
Ridolfi,,,
Riebou,,,
Riedel,,,
Riederer,,,
Riedle,,,
Riedman,,,
Riefenstahl,,,
Rieff,,,
Riege,,,
Rieger,,,
Riegler,,,
Riehl,,,
Rienks,,,
Ries,,,
Rieser,,,
Rieux,,,
Rigaudias,,,
Rigaudiere,,,
Righetti,,,
Righini,,,
Rihm,,,
Riina,,,
Rijkaard,,,
Rilla,,,
Rimbaud,,,
Rimbert,,,
Rimeaux,,,
Rindel,,,
Rinuccini,,,
Rios,,,
Rioseco,,,
Ripanu,,,
Ripnu,,,
Rippel,,,
Rippner,,,
Riske,,,
Ristani,,,
Ristenbatt,,,
Ristenblatt,,,
Rith,,,
Ritschel,,,
Ritsma,,,
Ritter,,,
Rittinger,,,
Riu,,,
Riucu,,,
Rivaldo,,,
Rivette,,,
Riviere,,,
Rivière,,,
Rizzi,,,
Rizzo,,,
Roachant,,,
Roard,,,
Robberts,,,
Robel,,,
Robert,,,
Roblou,,,
Rocchigiani,,,
Rocco,,,
Rocha,,,
Rochant,,,
Roche,,,
Rochebloine,,,
Rochefort,,,
Rochkes,,,
Rochon,,,
rochus,,,
Rockmeier,,,
Rocque,,,
Rodier,,,
Rodin,,,
Roding,,,
Rödinger,,,
Rodledo,,,
Rodocanachi,,,
Rodrigues,,,
Roeges,,,
Roegiers,,,
Roeloffs,,,
Roelofs,,,
Roelofse,,,
Roels,,,
Roerich,,,
Roethlisberger,,,
Rog¾,,,
Roga,,,
Roger,,,
Roggeveen,,,
Roghi,,,
Rogiers,,,
Rohland,,,
Rohlander,,,
Röhm,,,
Rohre,,,
Rohrer,,,
Röhricht,,,
Rohwer,,,
Roig,,,
Rollenhagen,,,
Rollin,,,
Rollinat,,,
Rolnik,,,
Rom,,,
Roman,,,
Romançon,,,
Romanelli,,,
Romano,,,
Romanov,,,
Romary,,,
Rombaut,,,
Rombley,,,
Romboni,,,
Romé,,,
Romenel,,,
Romeyn,,,
Romme,,,
Rommel,,,
Romp,,,
Ronay,,,
Roncalli,,,
Roncero,,,
Ronchetti,,,
Ronchi,,,
Rond,,,
Rondeaux,,,
Rondinella,,,
Rondinelli,,,
Ronet,,,
Ronhaar,,,
Rooman,,,
Rooms,,,
Roorda,,,
Roos,,,
Roosmalen,,,
Roquentin,,,
Rorendaal,,,
Ros,,,
Rosa,,,
Rosai,,,
Rosch,,,
Roschmann,,,
Roselli,,,
Rosen,,,
Rosenbaum,,,
Rosendaal,,,
Rosener,,,
Rosenfeld,,,
Rositzke,,,
Roskopf,,,
Rosler,,,
Rosmer,,,
Rosner,,,
Rosolen,,,
Rosolino,,,
Rospigliosi,,,
Rossano,,,
Rossellino,,,
Rossen,,,
Rossetti,,,
Rossito,,,
Rosskopf,,,
Rösslar,,,
Rossouw,,,
Roster,,,
Rosza,,,
Rotheberg,,,
Rothfels,,,
Rotholz,,,
Rotsch,,,
Rottenberger,,,
Rotthier,,,
Rottier,,,
Roty,,,
Rotzsch,,,
Rou,,,
Rouaix,,,
Rouard,,,
Rouart,,,
Roubel,,,
Rouestoff,,,
Roufosse,,,
Rouget,,,
Rouille,,,
Rouleau,,,
Roumet,,,
Roupardin,,,
Roussel,,,
Rousset,,,
Rouvière,,,
Rouwens,,,
Roux,,,
Rovigo,,,
Rrustemi,,,
Rubalcaba,,,
Rubbi,,,
Rubik,,,
Rucelli,,,
Ruchendorf,,,
Rucker,,,
Rudhart,,,
Rüdiger,,,
Rueckl,,,
Ruegsegger,,,
Ruehe,,,
Ruel,,,
Ruff,,,
Ruffo,,,
Rufillo,,,
Rufin,,,
Ruge,,,
Ruggieri,,,
Ruggioni,,,
Rugiero,,,
Rugova,,,
Rui,,,
Ruicu,,,
Ruimschoot,,,
Ruinart,,,
Ruiz,,,
Rulon,,,
Rumpelmeier,,,
Rumpff,,,
Rundstedt,,,
Runeville,,,
Runggaldier,,,
Rupp,,,
Rupprath,,,
Ruschin,,,
Ruspoli,,,
Russi,,,
Russinov,,,
Russo,,,
Rust,,,
Rutan,,,
Rutgeerts,,,
Ruth,,,
Ruthgeerts,,,
Ruychou,,,
Ryckaert,,,
Rycke,,,
Ryer,,,
Ryersen,,,
Ryke,,,
Ryzhenkov,,,
Rzehak,,,
Saal,,,
Saarloos,,,
Sabato,,,
Sabau,,,
Sabin,,,
Sabre,,,
Saby,,,
Sacchetti,,,
Sacchi,,,
Sacco,,,
Sachs,,,
Sachse,,,
Sack,,,
Sackel,,,
Sacquerville,,,
Sacramento,,,
Sacratini,,,
Sadiku,,,
Sadiraj,,,
Sadourny,,,
